URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://www.law.columbia.edu/fac/Michelle_Greenberg-Kobrin,404,,1/24/17,Not found,Desktop,6/26/17
http://www.law.columbia.edu/law_school/communications/reports/Fall2002,404,,1/24/17,Not found,Desktop,6/9/17
http://www.law.columbia.edu/contract-economics/conferences/laweconomicsS08/Mahoney%20paper.pdf,404,,1/24/14,Not found,Desktop,6/29/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/The%20Civilian%20Impact%20of%20Drones.pdf,404,,6/17/17,Not found,Desktop,6/17/17
http://www.law.columbia.edu/null/download,404,,1/26/17,Not found,Desktop,5/4/17
http://www.law.columbia.edu/null?&layout=profpopup&main.ctrl=contactmgr.detail&main.view=profiles.detail&global.id=545,404,,5/24/17,Not found,Desktop,7/7/17
http://www.law.columbia.edu/law_school/communications/reports/fall2003/mfox,404,,1/21/17,Not found,Desktop,7/27/17
http://www.law.columbia.edu/fac/Janice_Tudy-Jackson,404,,1/21/17,Not found,Desktop,7/22/17
http://www.law.columbia.edu/center_program/global_legal,404,,3/30/17,Not found,Desktop,7/13/17
http://www.law.columbia.edu/law_school/communications/reports/Fall2002/risingstars,404,,6/14/17,Not found,Desktop,7/23/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=163021,404,,6/5/17,Not found,Desktop,6/5/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/The%20Road%20To%20Rights.Outcomes%20Document.pdf,404,,1/19/17,Not found,Desktop,6/15/17
http://www.law.columbia.edu/home,404,,1/20/17,Not found,Desktop,6/13/17
http://www.law.columbia.edu/sites/default/files/microsites/attorneys-general/files/Uniform%20Trust%20Code.pdf,404,,5/31/17,Not found,Desktop,7/25/17
http://www.law.columbia.edu/law_school/communications/reports/winter2003/j_witt,404,,7/10/17,Not found,Desktop,7/10/17
http://www.law.columbia.edu/brokensystem2/index2.html,404,,6/6/17,Not found,Desktop,6/6/17
http://www.law.columbia.edu/law_school/communications/reports/winter2004/clerks,404,,1/21/17,Not found,Desktop,5/22/17
http://www.law.columbia.edu/curriculum/areasofstudy,404,,1/21/17,Not found,Desktop,7/15/17
http://www.law.columbia.edu/fac/Theodore_Van%20Itallie,404,,1/24/17,Not found,Desktop,6/2/17
http://www.law.columbia.edu/law_school/communications/reports/winter2003/a_dubler,404,,1/21/17,Not found,Desktop,6/6/17
http://www.law.columbia.edu/fac/Steven%20Paul_McSloy,404,,1/24/17,Not found,Desktop,6/6/17
http://www.law.columbia.edu/center_program/gendersexuality/colloquium/ginsburg/ginsburg-photos,404,,1/21/17,Not found,Desktop,7/25/17
http://www.law.columbia.edu/fac/Abbe_Gluck,404,,5/9/17,Not found,Desktop,5/9/17
http://www.law.columbia.edu/media_inquiries/news_faculty/civilrights,404,,1/25/17,Not found,Desktop,7/26/17
http://www.law.columbia.edu/law_school/communications/reports/fall2003/prosenblum,404,,1/21/17,Not found,Desktop,7/26/17
http://www.law.columbia.edu/curriculum,404,,1/21/17,Not found,Desktop,5/27/17
http://www.law.columbia.edu/fac/Peggy_Cross-Goldenberg,404,,1/24/17,Not found,Desktop,6/3/17
http://www.law.columbia.edu/make_gift/how_to_give/bequests,404,,1/19/17,Not found,Desktop,7/10/17
http://www.law.columbia.edu/center_program/law_history/Events,404,,1/20/17,Not found,Desktop,6/27/17
http://www.law.columbia.edu/center_program/crime,404,,1/20/17,Not found,Desktop,6/26/17
